Accession	Description	Sum PEP Score	# Unique Peptides	temp37.0_concYOU	temp40.6_concYOU	temp43.7_concYOU	temp47.5_concYOU	temp51.2_concYOU	temp54.5_concYOU	temp57.9_concYOU	temp61.5_concYOU	temp64.0_concYOU	temp67.0_concYOU	temp67.0_concSEN	temp64.0_concSEN	temp61.5_concSEN	temp57.9_concSEN	temp54.5_concSEN	temp51.2_concSEN	temp47.5_concSEN	temp43.7_concSEN	temp40.6_concSEN	 temp37.0_concSEN
Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	4069.781	395	144.7	144	143.1	131.1	106.6	90.9	67.1	60.6	61	51	53.8	47	54.9	61.4	99.5	118.1	130.2	156.5	141.7	137
P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	1586.752	156	215.5	216.1	196.4	173.4	108.9	44.9	18.6	11.4	8.3	6.5	5.7	5.9	8.6	13.7	47.4	121.8	168.4	243.4	190.8	194.5
P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	1532.691	133	200.6	200.1	196.7	176.7	114.7	56.5	24.6	14.5	9.1	6.5	5.9	7	11.7	20.7	63.3	114.4	169.8	230.1	186.2	190.9
Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	1291.321	172	230.9	235	224.6	160.2	67.1	33.9	18.3	12.8	9.6	7.5	5.9	6.3	9.6	14.3	36.3	72.1	144.9	287.5	230.9	192.2
O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	1243.997	127	185.3	171.7	177.1	167.3	130.3	83.9	37.9	22.9	14.1	9.6	9.2	11.6	18.5	31	90.2	136.2	163.2	206	163.2	170.9
P31327	Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2	1186.166	93	201.6	199.9	182.2	175	130	77.2	16.1	8.9	5.1	3.9	4.1	4.5	7.8	13	76.3	138.4	170.8	211.3	187.4	186.4
Q13813	Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3	1151.296	138	150.6	152.9	168.5	156.5	137	106.9	63.8	32.1	18.9	12.8	11.2	14.1	23.6	48.7	107.7	150.4	153.2	185.2	162	144
P46940	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	1126.859	109	235.6	227	218.1	175.4	73.9	31.1	15.7	10.2	7.3	5.6	4.7	5.2	7.9	12	29.4	65.6	177.7	250.3	218.8	228.4
P49327	Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	1108.844	107	226.3	217.4	215.6	181.1	90.7	31.3	15.8	9.7	6.8	5.3	5.5	6.2	9.5	13.8	36	102.4	170.8	259.8	199.9	196.2
O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	1057.256	61	141.6	136.7	150.2	147.3	135	120.2	93.6	59.3	10	6.1	4.1	5.2	43	74.6	131.1	141.5	146.2	161.8	152.5	140
P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	1037.213	65	163.6	157.4	152.3	140.4	118.5	112.1	79.2	49.1	20.7	6.6	5.1	14	39.1	65.4	128.6	142.3	125	180.9	152.8	146.7
P12270	Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3	1007.574	132	150.3	149	136.7	134.2	124.4	105.7	69	53.5	44.4	32.8	21.6	27.7	38.7	55.4	111.8	135.2	128.9	174.3	155	151.5
Q9Y490	Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3	986.235	105	209	197.3	210.9	175.3	99	46.7	26.7	16.2	10.8	8	7	7.8	12.2	19.7	46.6	98.4	175.5	233.3	196.1	203.4
P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	965.395	46	207.1	197.8	197.7	177.4	105.7	58.4	26.6	14.9	8.5	5.9	5.3	6.3	11	20.3	61.9	105.2	174.9	221.2	197.2	196.6
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	914.683	52	216.1	197.7	194.8	181.4	102.7	55.3	24.9	14	7.8	5.4	4.7	5.6	9.8	19.4	58.6	105.5	177.8	221.3	192.1	205.2
P27816	Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3	903.419	90	135.2	131.5	127.9	123.7	109.5	93.2	75.9	69.9	72.6	60.7	65.1	55	61.7	66.4	104.8	114.8	126	147.9	128.3	129.9
P18206	Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	890.89	86	145.4	142.3	140.2	134	115.1	103.6	81.3	65.6	47.2	25.3	23.4	37.3	57.7	71.6	119.3	122.8	133.2	154.1	142.2	138.4
Q01082	Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2	883.501	112	161.2	167.3	172	168	141.4	105.9	49.4	17.5	10.5	6.8	5.6	7.3	11.9	35	102.7	159.9	157.4	199.6	167.5	153.2
Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	843.26	149	174	181.5	174.8	172.5	122	69.6	38.7	27.2	22.1	17.6	11.5	12.4	18.2	28.1	75.6	128.9	173.1	206.9	175.9	169.4
P12814	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	840.739	46	155.8	149.2	159.4	149.2	133.3	117.6	84.7	38.3	7.7	4.9	4.4	5.4	26.1	69.2	130.9	138.4	152.3	170	157.2	146
